row_id,label,label_enc,proba_0,proba_1,proba_2
0,0,0,0.9945606060665464,0.004061080798672602,0.00137831313478104
1,1,1,0.00788455430672423,0.6904577103416172,0.3016577353516585
2,1,1,0.005887794953876849,0.955377868619537,0.03873433642658608
3,0,0,0.9945606060665464,0.004061080798672602,0.00137831313478104
4,1,1,0.0011923987587361938,0.9976891381671278,0.001118463074136057
5,2,2,0.003702205821036564,0.005958791782051123,0.9903390023969122
6,1,1,0.03212449505985682,0.9352244706439085,0.032651034296234845
7,1,1,0.012008332265733756,0.7917407308279198,0.1962509369063464
8,2,2,0.003705853511788881,0.004979387854253361,0.9913147586339577
9,2,2,0.03323022223094301,0.04127030415958571,0.9254994736094714
10,2,2,0.0019128732225272632,0.0022085359938609737,0.9958785907836116
11,1,1,0.003268965221453344,0.9937707498584747,0.0029602849200719363
12,1,1,0.03965496295458843,0.9200401060874722,0.04030493095793923
13,1,1,0.005777978447764588,0.9886545107700861,0.005567510782149275
14,1,1,0.003092366830745219,0.9940041614416011,0.002903471727653749
15,0,0,0.9964643863790033,0.003000060094749477,0.0005355535262470679
16,0,0,0.9914556271086649,0.0048707045381035435,0.0036736683532316004
17,2,2,0.0008901910450361611,0.002261821240287608,0.9968479877146763
18,2,2,0.03323022223094301,0.04127030415958571,0.9254994736094714
19,0,0,0.9910509998399823,0.007043828331889527,0.0019051718281281433
20,2,2,0.00552845920933777,0.32954085260928556,0.6649306881813766
21,0,0,0.9966596916783155,0.0026308520405829293,0.0007094562811015625
22,2,2,0.003052380808591539,0.03978890362340312,0.9571587155680054
23,0,0,0.9440670661772366,0.028704923897166976,0.02722800992559655
24,1,1,0.003855371564583031,0.9920470546001328,0.00409757383528426
25,2,2,0.001379450399987781,0.009947250152574945,0.9886732994474373
26,2,2,0.0038528166789710857,0.0057475837728332545,0.9903995995481957
27,0,0,0.9928634459228418,0.004877620701872806,0.0022589333752852676
28,2,2,0.0008890391596264492,0.003552870006992501,0.995558090833381
29,0,0,0.9440670661772366,0.028704923897166976,0.02722800992559655
30,0,0,0.9944621855670729,0.0036260850260781954,0.0019117294068489307
31,1,1,0.003595437136788667,0.9929400925114127,0.003464470351798446
32,1,1,0.004718536148242882,0.9915428191974471,0.003738644654310071
33,0,0,0.9830160971142415,0.013341505759810239,0.00364239712594826
34,2,2,0.0019128732225272632,0.0022085359938609737,0.9958785907836116
35,2,2,0.003705853511788881,0.004979387854253361,0.9913147586339577
36,1,1,0.04032926711471687,0.9186804455282028,0.04099028735708026
37,1,1,0.03212449505985682,0.9352244706439085,0.032651034296234845
38,2,2,0.0019128732225272632,0.0022085359938609737,0.9958785907836116
39,2,2,0.031141265052139,0.10153909402020596,0.867319640927655
40,0,0,0.9964643863790033,0.003000060094749477,0.0005355535262470679
41,1,1,0.009792642786418426,0.9555318911340352,0.03467546607954634
42,0,0,0.983903801860729,0.015395821934576216,0.0007003762046946528
43,2,2,0.0038528166789710857,0.0057475837728332545,0.9903995995481957
44,0,0,0.9927036400060976,0.0048768356264921025,0.0024195243674103146
45,0,0,0.9440670661772366,0.028704923897166976,0.02722800992559655
46,2,2,0.004369934399198445,0.029999501935435473,0.965630563665366
47,0,0,0.9964643863790033,0.003000060094749477,0.0005355535262470679
48,0,0,0.9644722687282085,0.03341206324760432,0.0021156680241872423
49,0,0,0.9927036400060976,0.0048768356264921025,0.0024195243674103146
50,0,0,0.9922025393811283,0.005890075099729536,0.0019073855191421487
51,1,1,0.0051568384838437805,0.9905334669879525,0.004309694528203654
52,2,2,0.029217088223613942,0.028198700068069592,0.9425842117083164
53,1,1,0.0041930192807433575,0.9871672123366176,0.008639768382638895
54,0,0,0.9440670661772366,0.028704923897166976,0.02722800992559655
55,2,2,0.03323022223094301,0.04127030415958571,0.9254994736094714
56,1,1,0.03212449505985682,0.9352244706439085,0.032651034296234845
57,2,2,0.029217088223613942,0.028198700068069592,0.9425842117083164
58,0,0,0.9922025393811283,0.005890075099729536,0.0019073855191421487
59,2,2,0.0031072218737608435,0.01444737300921282,0.9824454051170264
60,0,0,0.99613663151339,0.003154284537531406,0.0007090839490784067
61,1,1,0.0011920305290926225,0.9973810376151518,0.001426931855755427
62,2,2,0.029217088223613942,0.028198700068069592,0.9425842117083164
63,0,0,0.9922025393811283,0.005890075099729536,0.0019073855191421487
64,2,2,0.03323022223094301,0.04127030415958571,0.9254994736094714
65,1,1,0.006290273814664209,0.9883705661497055,0.00533916003563028
66,2,2,0.003705853511788881,0.004979387854253361,0.9913147586339577
67,1,1,0.003908579937305759,0.9859072206840644,0.010184199378629891
68,1,1,0.00324989871867027,0.9879745019682967,0.008775599313033003
69,2,2,0.0038528166789710857,0.0057475837728332545,0.9903995995481957
70,0,0,0.9928634459228418,0.004877620701872806,0.0022589333752852676
