row_id,label
0,0
1,1
2,1
3,0
4,1
5,2
6,1
7,1
8,2
9,2
10,2
11,1
12,1
13,1
14,1
15,0
16,0
17,2
18,2
19,0
20,1
21,0
22,2
23,0
24,1
25,2
26,2
27,0
28,2
29,0
30,0
31,1
32,1
33,0
34,2
35,2
36,1
37,1
38,2
39,1
40,0
41,1
42,0
43,2
44,0
45,0
46,2
47,0
48,0
49,0
50,0
51,1
52,2
53,1
54,0
55,2
56,1
57,2
58,0
59,2
60,0
61,1
62,2
63,0
64,2
65,1
66,2
67,1
68,1
69,2
70,0
71,0
72,0
73,2
74,1
75,2
76,1
77,2
78,2
79,1
80,0
81,2
82,1
83,0
84,2
85,0
86,2
87,1
88,1
89,0
90,1
91,2
92,0
93,0
94,2
95,2
96,2
97,1
98,2
99,0
100,2
101,1
102,2
103,2
104,0
105,1
106,1
107,1
108,1
109,1
110,0
111,2
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,0
