row_index,oof_pred,fold
0,12.369989700746645,4
1,5.031605518486264,4
2,3.3500948086077664,4
3,2.1255552565649025,4
4,3.2833453724562296,4
5,2.4384230359862036,4
6,2.5784082894577574,4
7,2.385365228573983,4
8,17.292982697443406,4
9,5.691176966136038,4
10,3.65458775980978,4
11,2.2093129729984264,4
12,3.6969988912205034,4
13,2.648365133577637,4
14,2.702524350390659,4
15,2.519996245269433,4
16,17.571754251187798,4
17,5.65543679451822,4
18,3.665259649153974,4
19,2.236405762785757,4
20,3.7092358992433474,4
21,2.62571582706332,4
22,2.7372556720486805,4
23,2.5488227681777635,4
24,14.230413257159935,4
25,5.503533502943771,4
26,3.4694381254432995,4
27,2.1917694043886353,4
28,3.390368523248603,4
29,2.568500559792147,4
30,2.6507760627167403,4
31,2.483400944280452,4
32,13.593904516239327,4
33,4.951714886344146,4
34,3.3949055993135864,4
35,2.161432100849976,4
36,3.3182778567061213,4
37,2.530921098670288,4
38,2.552476903960968,4
39,2.4428762743058314,4
40,17.289524210835847,4
41,5.730981250559353,4
42,3.725339105605055,4
43,2.25233410183806,4
44,3.5603966152342363,4
45,2.6388057107371385,4
46,2.766891097725826,4
47,2.5404575850662905,4
48,15.338508599570877,4
49,5.4953558939733576,4
50,3.5801897936986595,4
51,2.193230061618435,4
52,3.5291082118632797,4
53,2.6033643878608403,4
54,2.6312023296438527,4
55,2.481409323054502,4
56,23.51492103329598,4
57,6.676673221700731,4
58,4.040826881486572,4
59,2.3150528010369884,4
60,4.025184067718384,4
61,2.8153119874445,4
62,2.9172811438058557,4
63,2.711555741020913,4
64,22.496159955618513,4
65,6.431431620464208,4
66,4.001833764348751,4
67,2.2712020436430898,4
68,3.949333490986469,4
69,2.7844257967652717,4
70,2.9507229563894932,4
71,2.635225099168035,4
72,14.136447424982322,4
73,5.081556220876818,4
74,3.4245989606064606,4
75,2.175901464182009,4
76,3.3426582045754216,4
77,2.530318012324854,4
78,2.5839250744635445,4
79,2.437512048749311,4
